ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,p_class,lonlat
0,0,2014-01-01,Rockingham Street and Berkley Avenue Extended Norfolk Virginia,1.0986122886681096,2,2,Norfolk,Virginia,-76.27893509999998,36.830788500000004,1.0986122886681098,1.0986122886681098,3,"[-76.27893509999998, 36.830788500000004]"
1,1,2014-01-03,Farmers Boulevard and 133rd Avenue Queens New York,0.9010913347279288,1,3,Queens,New York,-73.76289840000003,40.6775003,0.6931471805599453,1.3862943611198906,2,"[-73.76289840000003, 40.6775003]"
2,2,2014-01-05,829 Parade St Erie Pennsylvania,0.9010913347279288,1,3,Erie,Pennsylvania,-80.07452350000001,42.1300375,0.6931471805599453,1.3862943611198906,2,"[-80.07452350000001, 42.1300375]"
3,3,2014-01-11,3430 W. Capitol Street Jackson Mississippi,0.4828313737302301,0,4,Jackson,Mississippi,-90.2283209,32.323689,0.0,1.6094379124341005,1,"[-90.2283209, 32.323689]"
4,4,2014-01-12,University Drive Huntsville Alabama,0.5375278407684164,0,5,Huntsville,Alabama,-86.65038990000002,34.736562299999996,0.0,1.791759469228055,2,"[-86.65038990000002, 34.736562299999996]"
5,4,2014-01-12,3600 block of Highway 80 W Tallulah Louisiana,0.583773044716594,0,6,Tallulah,Louisiana,-90.24882170000001,32.30199160000001,0.0,1.9459101490553128,2,"[-90.24882170000001, 32.30199160000001]"
6,4,2014-01-12,300 block of North St Elgin Illinois,0.5375278407684164,0,5,Elgin,Illinois,-88.28021790000004,42.0401123,0.0,1.791759469228055,2,"[-88.28021790000004, 42.0401123]"
7,5,2014-01-13,800 block of Calvert St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.09221389999998,42.3871989,0.0,1.6094379124341005,1,"[-83.09221389999998, 42.3871989]"
8,6,2014-01-14,West 86th Street Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.3987642,33.9592417,0.0,1.6094379124341005,1,"[-118.3987642, 33.9592417]"
9,7,2014-01-16,37 N. 630 West Spanish Fork Utah,1.2542316284596384,5,0,Spanish Fork,Utah,-111.66539709999999,40.1103572,1.791759469228055,0.0,3,"[-111.66539709999999, 40.1103572]"
10,7,2014-01-16,H St NE and Martin Luther King Blvd Ardmore Oklahoma,1.2518599757979068,2,4,Ardmore,Oklahoma,-97.1177499,34.1763148,1.0986122886681098,1.6094379124341005,3,"[-97.1177499, 34.1763148]"
11,8,2014-01-20,8509 Rixlew Ln Manassas Virginia,0.4828313737302301,0,4,Manassas,Virginia,-77.5018772,38.7724416,0.0,1.6094379124341005,1,"[-77.5018772, 38.7724416]"
12,9,2014-01-21,Springfield Avenue  Newark New Jersey,1.184916910403644,2,3,Newark,New Jersey,-74.2134631,40.7298318,1.0986122886681098,1.3862943611198906,3,"[-74.2134631, 40.7298318]"
13,10,2014-01-25,600 block of Covenant Drive Belle Glade Florida,0.4828313737302301,0,4,Belle Glade,Florida,-80.67388869999998,26.686847399999998,0.0,1.6094379124341005,1,"[-80.67388869999998, 26.686847399999998]"
14,10,2014-01-25,S Union Ave and W 51st St Chicago Illinois,0.9680344001221916,1,4,Chicago,Illinois,-87.64290229999996,41.801615500000004,0.6931471805599453,1.6094379124341005,2,"[-87.64290229999996, 41.801615500000004]"
15,11,2014-01-27,2nd Avenue South and South Main Street Seattle Washington,0.9680344001221916,1,4,Seattle,Washington,-122.331176,47.599790899999995,0.6931471805599453,1.6094379124341005,2,"[-122.331176, 47.599790899999995]"
16,11,2014-01-27,821 Word Plaza Rocky Mount North Carolina,0.4828313737302301,0,4,Rocky Mount,North Carolina,-77.81895290000001,35.9690182,0.0,1.6094379124341005,1,"[-77.81895290000001, 35.9690182]"
17,12,2014-02-03,2100 block of Bridlewood Dr Franklin Indiana,1.2999897393843562,3,2,Franklin,Indiana,-86.0450037,39.5006693,1.3862943611198906,1.0986122886681098,3,"[-86.0450037, 39.5006693]"
18,13,2014-02-05,6740 N Clark St Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.6731401,42.0048278,0.6931471805599453,1.3862943611198906,2,"[-87.6731401, 42.0048278]"
19,14,2014-02-06,4600 block of Downman Road New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.02180659999998,30.016335499999997,0.0,1.6094379124341005,1,"[-90.02180659999998, 30.016335499999997]"
