ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,rand_ind_t,null_indegree,null_outdegree
564,2016-12-05,1532 Stagecoach Lane Albuquerque New Mexico,1.3345506928718538,4,1,Albuquerque,New Mexico,-106.4909978,35.0482007,1.6094379124341005,0.6931471805599453,0,13,0,2,5
890,2018-07-28,8801 S Vermont Ave Los Angeles California,1.2518599757979068,2,4,Los Angeles,California,-118.2920111,33.9577156,1.0986122886681098,1.6094379124341005,2,16,1,3,3
890,2018-07-28,3400 S Claiborne Ave New Orleans Louisiana,1.594238515287874,3,7,New Orleans,Louisiana,-90.0977958,29.9404978,1.3862943611198906,2.0794415416798357,0,17,1,2,4
170,2014-12-26,2500 block of Summit Avenue East St. Louis Illinois,0.9010913347279288,1,3,East St. Louis,Illinois,-90.1254163,38.61961820000001,0.6931471805599453,1.3862943611198906,5,3,2,9,0
450,2016-06-13,Avenue D and E. 57th Brooklyn New York,0.5375278407684164,0,5,Brooklyn,New York,-73.9226193,40.6427459,0.0,1.791759469228055,8,6,3,6,3
450,2016-06-13,East El Monte Way and Recreation Avenue Fresno California,0.4828313737302301,0,4,Fresno,California,-119.7387116,36.7349771,0.0,1.6094379124341005,8,0,3,6,4
450,2016-06-13,3200 block of West Congress Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.7059695,41.8749169,0.0,1.791759469228055,8,6,3,6,3
263,2015-06-20,6066 Robinson Bridge Rd Morven North Carolina,0.4828313737302301,0,4,Morven,North Carolina,-80.01305500000002,34.863847,0.0,1.6094379124341005,6,0,4,5,0
263,2015-06-20,4100 block of Ogden St Philadelphia Pennsylvania,0.7193685818395111,0,10,Philadelphia,Pennsylvania,-75.2060563,39.96901629999999,0.0,2.3978952727983707,5,8,4,8,0
263,2015-06-20,Dexter and Webb Detroit Michigan,1.2306750213283617,1,11,Detroit,Michigan,-83.1239791,42.3795339,0.6931471805599453,2.4849066497880004,2,10,4,1,6
1084,2019-06-30,12700 block of California St Yucaipa California,0.5375278407684164,0,5,Yucaipa,California,-117.0392103,34.0229051,0.0,1.791759469228055,9,6,5,1,6
