ind_t,date,adr,p,n_killed,n_injured,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,rand_ind_t,G0_indegree,G0_outdegree,G0_null_indegree,G0_null_outdegree,G1_indegree,G1_outdegree,G1_null_indegree,G1_null_outdegree
0,2014-01-01,Rockingham Street and Berkley Avenue Extended Norfolk Virginia,2.855649206057388,2,2,Virginia,-76.27893509999998,36.8307885,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,298,1,0,1,0,9,0,9,0
1,2014-01-03,Farmers Boulevard and 133rd Avenue Queens New York,2.3903891703159093,1,3,New York,-73.76289840000003,40.6775003,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,941,0,2,0,2,1,4,1,9
2,2014-01-05,829 Parade St Erie Pennsylvania,2.3903891703159093,1,3,Pennsylvania,-80.07452350000001,42.1300375,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,931,1,2,1,2,4,4,2,4
3,2014-01-11,3430 W. Capitol Street Jackson Mississippi,1.515716566510398,0,4,Mississippi,-90.2283209,32.323689,,,,,,,,,,,,,,,0.0,1.6094379124341005,357,1,2,1,2,4,8,9,5
4,2014-01-12,3600 block of Highway 80 W Tallulah Louisiana,1.711769859409705,0,6,Louisiana,-90.2488217,32.30199160000001,,,,,,,,,,,,,,,0.0,1.9459101490553128,804,0,2,0,2,0,11,0,7
4,2014-01-12,University Drive Huntsville Alabama,1.6206565966927624,0,5,Alabama,-86.65038990000002,34.7365623,,,,,,,,,,,,,,,0.0,1.791759469228055,804,0,3,0,3,1,9,3,9
4,2014-01-12,300 block of North St Elgin Illinois,1.6206565966927624,0,5,Illinois,-88.28021790000004,42.0401123,,,,,,,,,,,,,,,0.0,1.791759469228055,804,0,2,0,2,3,9,1,7
5,2014-01-13,800 block of Calvert St Detroit Michigan,1.515716566510398,0,4,Michigan,-83.09221389999998,42.3871989,,,,,,,,,,,,,,,0.0,1.6094379124341005,716,1,1,1,1,2,9,3,6
6,2014-01-14,West 86th Street Los Angeles California,1.515716566510398,0,4,California,-118.3987642,33.9592417,,,,,,,,,,,,,,,0.0,1.6094379124341005,887,1,0,1,0,9,0,6,0
7,2014-01-16,H St NE and Martin Luther King Blvd Ardmore Oklahoma,3.1402213592228687,2,4,Oklahoma,-97.1177499,34.1763148,,,,,,,,,,,,,,,1.0986122886681098,1.6094379124341005,1038,1,0,1,0,2,0,7,0
7,2014-01-16,37 N. 630 West Spanish Fork Utah,3.085169313600048,5,0,Utah,-111.6653971,40.1103572,,,,,,,,,,,,,,,1.791759469228055,0.0,1038,0,4,0,4,1,10,4,9
8,2014-01-20,8509 Rixlew Ln Manassas Virginia,1.515716566510398,0,4,Virginia,-77.5018772,38.7724416,,,,,,,,,,,,,,,0.0,1.6094379124341005,225,0,3,0,3,0,9,0,10
9,2014-01-21,Springfield Avenue  Newark New Jersey,3.0148939630283804,2,3,New Jersey,-74.2134631,40.7298318,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,1091,1,3,1,3,2,11,3,6
10,2014-01-25,S Union Ave and W 51st St Chicago Illinois,2.515716566510398,1,4,Illinois,-87.64290229999996,41.8016155,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,248,1,1,1,1,2,13,2,12
10,2014-01-25,600 block of Covenant Drive Belle Glade Florida,1.515716566510398,0,4,Florida,-80.67388869999998,26.6868474,,,,,,,,,,,,,,,0.0,1.6094379124341005,248,1,0,1,0,9,0,8,0
11,2014-01-27,2nd Avenue South and South Main Street Seattle Washington,2.515716566510398,1,4,Washington,-122.331176,47.5997909,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,164,0,1,0,1,2,5,1,11
11,2014-01-27,821 Word Plaza Rocky Mount North Carolina,1.515716566510398,0,4,North Carolina,-77.81895290000001,35.9690182,,,,,,,,,,,,,,,0.0,1.6094379124341005,164,0,0,0,0,4,4,0,4
12,2014-02-03,2100 block of Bridlewood Dr Franklin Indiana,3.388813693319509,3,2,Indiana,-86.0450037,39.5006693,,,,,,,,,,,,,,,1.3862943611198906,1.0986122886681098,933,0,1,0,1,6,3,4,3
13,2014-02-05,6740 N Clark St Chicago Illinois,2.3903891703159093,1,3,Illinois,-87.6731401,42.0048278,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,539,1,2,1,2,4,4,13,7
14,2014-02-06,4600 block of Downman Road New Orleans Louisiana,1.515716566510398,0,4,Louisiana,-90.02180659999998,30.0163355,,,,,,,,,,,,,,,0.0,1.6094379124341005,98,1,0,1,0,10,0,2,0
15,2014-02-07,Northwest 41st Street and 9th Avenue  Miami Florida,1.6206565966927624,0,5,Florida,-73.99308789999998,40.7578531,,,,,,,,,,,,,,,0.0,1.791759469228055,418,1,0,1,0,10,0,6,0
16,2014-02-12,Constitution Park Stockton California,2.3903891703159093,1,3,California,-121.2774788,37.9595498,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,686,1,0,1,0,1,7,3,5
16,2014-02-12,37th and International  Oakland California,2.3903891703159093,1,3,California,-122.2208675,37.77524710000001,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,686,0,0,0,0,7,0,10,0
16,2014-02-12,2220 block of Broadway Gary Indiana,1.6206565966927624,0,5,Indiana,-87.33714289999998,41.57809640000001,,,,,,,,,,,,,,,0.0,1.791759469228055,686,1,2,1,2,0,9,2,12
17,2014-02-15,Sahara and Maryland  Las Vegas Nevada,1.6206565966927624,0,5,Nevada,-115.1371011,36.1443428,,,,,,,,,,,,,,,0.0,1.791759469228055,470,1,2,1,2,2,8,5,5
18,2014-02-16,Lafayette Street and East Tillman Road Fort Wayne Indiana,1.6206565966927624,0,5,Indiana,-85.1193708,41.0171871,,,,,,,,,,,,,,,0.0,1.791759469228055,633,1,0,1,0,5,4,3,3
18,2014-02-16,2600 block of South Harwood Street Dallas Texas,2.792789962520997,1,7,Texas,-96.7790179,32.767340000000004,,,,,,,,,,,,,,,0.6931471805599453,2.079441541679836,633,0,1,0,1,2,7,1,5
18,2014-02-16,1187 S. Edgewood Ave. Jacksonville Florida,2.515716566510398,1,4,Florida,-81.7134144,30.3084697,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,633,0,0,0,0,3,9,2,10
18,2014-02-16, 115 NW 25th St. Fort Worth Texas,2.515716566510398,1,4,Texas,-97.34992559999999,32.7897485,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,633,0,2,0,2,1,10,0,8
18,2014-02-16,4500 block of Charlene Terrace Orlando (Pine Hills) Florida,2.7117698594097046,1,6,Florida,-81.4534046,28.5577794,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,633,1,1,1,1,5,3,2,2
19,2014-02-20,3400 block of South Parker Indianapolis Indiana,2.6390158215457884,4,0,Indiana,-86.1139417,39.7170274,,,,,,,,,,,,,,,1.6094379124341005,0.0,417,0,1,0,1,3,13,2,5
19,2014-02-20,300 W 1st St Alturas California,3.870160234890706,4,2,California,-120.5452488,41.48394520000001,Alturas tribal shooting,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",44,Unknown,-,Unknown,-,Two handguns and a butcher knife,9mm semi-automatic handgun,Native American,Female,-,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/,Spree,1.6094379124341005,1.0986122886681098,417,2,0,2,0,10,0,9,0
20,2014-02-22,1200 block of W Papeete St Wilmington California,1.515716566510398,0,4,California,-118.2778726,33.7868812,,,,,,,,,,,,,,,0.0,1.6094379124341005,365,0,1,0,1,2,2,1,6
21,2014-02-25,33325 Graceland Ln Glade Spring Virginia,3.639015821545789,4,1,Virginia,-81.78587639999998,36.7840021,,,,,,,,,,,,,,,1.6094379124341005,0.6931471805599453,288,1,1,1,1,5,8,9,6
22,2014-03-01,Hamilton Avenue Pittsburgh Pennsylvania,2.515716566510398,1,4,Pennsylvania,-79.9007297,40.45535539999999,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,386,0,1,0,1,5,4,0,5
22,2014-03-01,7800 Gratiot Av. Detroit Michigan,1.515716566510398,0,4,Michigan,-83.01477849999998,42.3779806,,,,,,,,,,,,,,,0.0,1.6094379124341005,386,0,3,0,3,0,9,0,9
23,2014-03-05,Law Street Pelzer South Carolina,3.388813693319509,3,2,South Carolina,-82.45249,34.6390534,,,,,,,,,,,,,,,1.3862943611198906,1.0986122886681098,710,0,0,0,0,5,0,4,0
24,2014-03-08,4900 West Race Ave Chicago Illinois,1.711769859409705,0,6,Illinois,-87.74830899999998,41.890715,,,,,,,,,,,,,,,0.0,1.9459101490553128,757,1,0,1,0,1,6,6,11
24,2014-03-08,1600 block of First Street Richmond California,2.3903891703159093,1,3,California,-122.368475,37.956275,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,757,1,2,1,2,3,3,5,5
25,2014-03-09, 4900 block of West Race Avenue Austin Texas,1.711769859409705,0,6,Texas,-87.74830899999998,41.890715,,,,,,,,,,,,,,,0.0,1.9459101490553128,839,1,0,1,0,13,0,7,0
25,2014-03-09,531 W State St Fremont Ohio,3.1576692799745936,3,1,Ohio,-83.11653199999998,41.348378,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,839,0,0,0,0,2,15,1,5
26,2014-03-14,S. Second and Roebling Sts Brooklyn New York,1.515716566510398,0,4,New York,-73.95906149999998,40.7121669,,,,,,,,,,,,,,,0.0,1.6094379124341005,431,2,1,2,1,7,7,9,6
27,2014-03-16,S 4th St Beaumont Texas,3.1576692799745936,3,1,Texas,-94.1155643,30.058844300000004,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,825,1,3,1,3,4,12,2,8
27,2014-03-16,4960 Highway 80 West  Waynesboro Georgia,1.515716566510398,0,4,Georgia,-81.84742740000002,33.209855,,,,,,,,,,,,,,,0.0,1.6094379124341005,825,1,3,1,3,5,4,4,6
28,2014-03-21,7550 Dorchester Road North Charleston South Carolina,1.515716566510398,0,4,South Carolina,-80.0787343,32.9035946,,,,,,,,,,,,,,,0.0,1.6094379124341005,944,1,0,1,0,6,0,7,2
29,2014-03-23,601 Long Beach Boulevard Long Beach California,2.3903891703159093,1,3,California,-118.1897511,33.7743901,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,1137,2,0,2,0,12,0,11,0
29,2014-03-23,Turk and Taylor San Francisco California,1.7927899625209969,0,7,California,-122.4107884,37.7832352,,,,,,,,,,,,,,,0.0,2.079441541679836,1137,1,1,1,1,4,6,2,6
29,2014-03-23,2700 Majesty Drive Arlington Texas,2.3903891703159093,1,3,Texas,-97.0613775,32.754806800000004,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,1137,1,1,1,1,7,2,3,4
30,2014-03-30,,1.6206565966927624,0,5,Mississippi,-84.389488,33.791638,,,,,,,,,,,,,,,0.0,1.791759469228055,564,0,1,0,1,0,11,0,6
30,2014-03-30,4300 Sunset Road Charlotte North Carolina,1.6206565966927624,0,5,North Carolina,-80.8562731,35.3049935,,,,,,,,,,,,,,,0.0,1.791759469228055,564,0,1,0,1,1,8,0,10
31,2014-04-02,Motor Pool Road and Tank Destroyer Boulevard Fort Hood Texas,4.936412531539858,4,16,Texas,-97.7944469,31.1329784,,,,,,,,,,,,,,,1.6094379124341005,2.8332133440562166,768,2,0,2,0,6,0,8,0
32,2014-04-05,5400 block of W Palm Ln Phoenix Arizona,2.3903891703159093,1,3,Arizona,-112.1756867,33.469846399999994,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,328,1,0,1,0,4,0,8,0
32,2014-04-05,Orchid Street  Fairfield California,1.515716566510398,0,4,California,-122.036953,38.278664,,,,,,,,,,,,,,,0.0,1.6094379124341005,328,1,0,1,0,5,0,6,0
32,2014-04-05,4300 W Wilcox Street Chicago Illinois,2.6206565966927617,1,5,Illinois,-87.733109,41.879032,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,328,0,0,0,0,3,0,8,0
33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,1.515716566510398,0,4,Oklahoma,-97.583367,35.4987478,,,,,,,,,,,,,,,0.0,1.6094379124341005,254,0,0,0,0,10,4,3,3
33,2014-04-06,90 Worthington St. Springfield Massachusetts,1.515716566510398,0,4,Massachusetts,-72.5937223,42.10316410000001,,,,,,,,,,,,,,,0.0,1.6094379124341005,254,1,0,1,0,10,0,5,0
34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,1.515716566510398,0,4,Louisiana,-90.1071864,29.9732273,,,,,,,,,,,,,,,0.0,1.6094379124341005,369,0,0,0,0,1,10,1,7
35,2014-04-09,300 N Sunset Ave Rockford Illinois,1.6206565966927624,0,5,Illinois,-89.1183927,42.2787689,,,,,,,,,,,,,,,0.0,1.791759469228055,11,2,0,2,0,5,1,7,4
35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,3.1576692799745936,3,1,Tennessee,-85.3877316,35.0246925,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,11,1,0,1,0,5,0,7,0
36,2014-04-11,North 15th and H Streets Richmond Indiana,1.515716566510398,0,4,Indiana,-84.88160599999998,39.838645,,,,,,,,,,,,,,,0.0,1.6094379124341005,810,1,5,1,5,2,8,3,7
