ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,state_indegree,state_outdegree,prox_indegree,prox_outdegree,rand_ind_t
0,0,2014-01-01,Rockingham Street and Berkley Avenue Extended Norfolk Virginia,1.0986122886681096,2,2,Norfolk,Virginia,-76.27893509999998,36.8307885,1.0986122886681098,1.0986122886681098,0,18,0,1,0,2,827
1,1,2014-01-03,Farmers Boulevard and 133rd Avenue Queens New York,0.9010913347279288,1,3,Queens,New York,-73.76289840000003,40.6775003,0.6931471805599453,1.3862943611198906,1,18,0,0,0,2,779
2,2,2014-01-05,829 Parade St Erie Pennsylvania,0.9010913347279288,1,3,Erie,Pennsylvania,-80.07452350000001,42.1300375,0.6931471805599453,1.3862943611198906,2,18,0,0,0,1,409
3,3,2014-01-11,3430 W. Capitol Street Jackson Mississippi,0.4828313737302301,0,4,Jackson,Mississippi,-90.2283209,32.323689,0.0,1.6094379124341005,3,20,0,0,0,2,366
4,4,2014-01-12,University Drive Huntsville Alabama,0.5375278407684164,0,5,Huntsville,Alabama,-86.65038990000002,34.7365623,0.0,1.791759469228055,4,20,0,0,0,0,471
5,4,2014-01-12,3600 block of Highway 80 W Tallulah Louisiana,0.583773044716594,0,6,Tallulah,Louisiana,-90.2488217,32.30199160000001,0.0,1.9459101490553128,5,19,0,1,1,1,471
6,4,2014-01-12,300 block of North St Elgin Illinois,0.5375278407684164,0,5,Elgin,Illinois,-88.28021790000004,42.0401123,0.0,1.791759469228055,6,18,0,2,0,4,471
7,5,2014-01-13,800 block of Calvert St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.09221389999998,42.3871989,0.0,1.6094379124341005,7,22,0,0,1,4,508
8,6,2014-01-14,West 86th Street Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.3987642,33.9592417,0.0,1.6094379124341005,8,23,0,3,0,1,272
9,7,2014-01-16,37 N. 630 West Spanish Fork Utah,1.2542316284596384,5,0,Spanish Fork,Utah,-111.6653971,40.1103572,1.791759469228055,0.0,9,23,0,0,0,0,177
10,7,2014-01-16,H St NE and Martin Luther King Blvd Ardmore Oklahoma,1.2518599757979068,2,4,Ardmore,Oklahoma,-97.1177499,34.1763148,1.0986122886681098,1.6094379124341005,10,22,0,0,0,2,177
11,8,2014-01-20,8509 Rixlew Ln Manassas Virginia,0.4828313737302301,0,4,Manassas,Virginia,-77.5018772,38.7724416,0.0,1.6094379124341005,11,22,1,1,2,3,514
12,9,2014-01-21,Springfield Avenue  Newark New Jersey,1.1849169104036439,2,3,Newark,New Jersey,-74.2134631,40.7298318,1.0986122886681098,1.3862943611198906,12,23,0,0,2,1,784
13,10,2014-01-25,600 block of Covenant Drive Belle Glade Florida,0.4828313737302301,0,4,Belle Glade,Florida,-80.67388869999998,26.6868474,0.0,1.6094379124341005,13,23,0,3,0,1,1087
14,10,2014-01-25,S Union Ave and W 51st St Chicago Illinois,0.9680344001221916,1,4,Chicago,Illinois,-87.64290229999996,41.8016155,0.6931471805599453,1.6094379124341005,14,22,1,1,2,6,1087
15,11,2014-01-27,2nd Avenue South and South Main Street Seattle Washington,0.9680344001221916,1,4,Seattle,Washington,-122.331176,47.5997909,0.6931471805599453,1.6094379124341005,15,23,0,0,0,0,1103
16,11,2014-01-27,821 Word Plaza Rocky Mount North Carolina,0.4828313737302301,0,4,Rocky Mount,North Carolina,-77.81895290000001,35.9690182,0.0,1.6094379124341005,16,22,0,0,2,1,1103
17,12,2014-02-03,2100 block of Bridlewood Dr Franklin Indiana,1.2999897393843562,3,2,Franklin,Indiana,-86.0450037,39.5006693,1.3862943611198906,1.0986122886681098,17,23,0,3,2,7,183
18,13,2014-02-05,6740 N Clark St Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.6731401,42.0048278,0.6931471805599453,1.3862943611198906,18,23,2,1,4,7,1002
19,14,2014-02-06,4600 block of Downman Road New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.02180659999998,30.0163355,0.0,1.6094379124341005,18,24,1,0,2,1,408
20,15,2014-02-07,Northwest 41st Street and 9th Avenue  Miami Florida,0.5375278407684164,0,5,Miami,Florida,-73.99308789999998,40.7578531,0.0,1.791759469228055,18,24,1,2,2,1,863
21,16,2014-02-12,37th and International  Oakland California,0.9010913347279288,1,3,Oakland,California,-122.2208675,37.77524710000001,0.6931471805599453,1.3862943611198906,18,26,1,6,0,3,443
22,16,2014-02-12,Constitution Park Stockton California,0.9010913347279288,1,3,Stockton,California,-121.2774788,37.9595498,0.6931471805599453,1.3862943611198906,19,25,2,5,1,3,443
23,16,2014-02-12,2220 block of Broadway Gary Indiana,0.5375278407684164,0,5,Gary,Indiana,-87.33714289999998,41.57809640000001,0.0,1.791759469228055,20,24,1,2,5,6,443
24,17,2014-02-15,Sahara and Maryland  Las Vegas Nevada,0.5375278407684164,0,5,Las Vegas,Nevada,-115.1371011,36.1443428,0.0,1.791759469228055,20,25,0,0,1,2,765
25,18,2014-02-16,1187 S. Edgewood Ave. Jacksonville Florida,0.9680344001221916,1,4,Jacksonville,Florida,-81.7134144,30.3084697,0.6931471805599453,1.6094379124341005,18,25,2,1,0,3,794
26,18,2014-02-16, 115 NW 25th St. Fort Worth Texas,0.9680344001221916,1,4,Fort Worth,Texas,-97.34992559999999,32.7897485,0.6931471805599453,1.6094379124341005,19,24,0,5,1,3,794
27,18,2014-02-16,Lafayette Street and East Tillman Road Fort Wayne Indiana,0.5375278407684164,0,5,Fort Wayne,Indiana,-85.1193708,41.0171871,0.0,1.791759469228055,20,23,2,1,5,5,794
