rand_ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,state_indegree,state_outdegree,prox_indegree,prox_outdegree,rand_ind_t,null_indegree,null_outdegree,state_null_indegree,state_null_outdegree,dist_null_indegree,dist_null_outdegree
0,564,2016-12-05,1532 Stagecoach Lane Albuquerque New Mexico,1.3345506928718538,4,1,Albuquerque,New Mexico,-106.49099779999999,35.0482007,1.6094379124341005,0.6931471805599453,17,27,0,0,0,0,0,0,25,0,0,0,0
1,890,2018-07-28,8801 S Vermont Ave Los Angeles California,1.2518599757979068,2,4,Los Angeles,California,-118.2920111,33.9577156,1.0986122886681098,1.6094379124341005,22,29,1,3,0,2,1,1,25,0,5,0,3
2,890,2018-07-28,3400 S Claiborne Ave New Orleans Louisiana,1.594238515287874,3,7,New Orleans,Louisiana,-90.0977958,29.9404978,1.3862943611198906,2.079441541679836,23,28,1,0,1,0,1,1,25,0,0,0,1
3,170,2014-12-26,2500 block of Summit Avenue East St. Louis Illinois,0.9010913347279288,1,3,East St. Louis,Illinois,-90.1254163,38.61961820000001,0.6931471805599453,1.3862943611198906,19,18,3,1,3,1,2,3,25,0,3,0,4
4,450,2016-06-13,Avenue D and E. 57th Brooklyn New York,0.5375278407684164,0,5,Brooklyn,New York,-73.9226193,40.642745899999994,0.0,1.791759469228055,29,30,1,0,6,5,3,4,23,0,1,0,3
5,450,2016-06-13,East El Monte Way and Recreation Avenue Fresno California,0.4828313737302301,0,4,Fresno,California,-119.73871159999999,36.7349771,0.0,1.6094379124341005,30,29,5,2,5,2,3,4,23,1,4,1,4
6,450,2016-06-13,3200 block of West Congress Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.7059695,41.8749169,0.0,1.791759469228055,28,31,1,5,3,5,3,4,23,1,2,0,3
7,263,2015-06-20,6066 Robinson Bridge Rd Morven North Carolina,0.4828313737302301,0,4,Morven,North Carolina,-80.01305500000002,34.863847,0.0,1.6094379124341005,23,27,0,0,2,0,4,7,22,0,0,0,1
8,263,2015-06-20,4100 block of Ogden St Philadelphia Pennsylvania,0.7193685818395111,0,10,Philadelphia,Pennsylvania,-75.2060563,39.96901629999999,0.0,2.3978952727983707,24,26,0,2,5,9,4,7,22,0,0,1,2
9,263,2015-06-20,Dexter and Webb Detroit Michigan,1.2306750213283617,1,11,Detroit,Michigan,-83.1239791,42.3795339,0.6931471805599453,2.4849066497880004,22,28,0,2,3,7,4,7,22,0,0,1,2
10,1084,2019-06-30,12700 block of California St Yucaipa California,0.5375278407684164,0,5,Yucaipa,California,-117.0392103,34.0229051,0.0,1.791759469228055,35,26,4,4,2,2,5,10,21,2,2,2,1
11,1084,2019-06-30,3535 Munger Ave Dallas Texas,1.0986122886681096,2,2,Dallas,Texas,-96.7889161,32.799645399999996,1.0986122886681098,1.0986122886681098,34,27,1,3,1,2,5,10,21,0,2,0,0
12,1084,2019-06-30,3000 block of Brookdale Ave Oakland California,0.4828313737302301,0,4,Oakland,California,-122.215519,37.792371,0.0,1.6094379124341005,36,25,5,3,3,3,5,10,21,2,2,1,1
13,1084,2019-06-30,Farragut Ave Bay Shore New York,0.583773044716594,0,6,Bay Shore,New York,-73.25985390000002,40.747006899999995,0.0,1.9459101490553128,33,28,0,1,9,5,5,10,21,1,0,2,1
14,1181,2019-11-21,120 West Casino Rd Everett Washington,0.4828313737302301,0,4,Everett,Washington,-122.2354153,47.9205883,0.0,1.6094379124341005,19,22,0,0,0,0,6,14,21,0,0,0,0
15,1181,2019-11-21,1100 block of 10th St Long Beach California,0.5375278407684164,0,5,Long Beach,California,-118.17892109999998,33.7788442,0.0,1.791759469228055,20,21,4,3,3,3,6,14,21,4,1,3,0
16,166,2014-12-21,600 block of Escanba Calumet City Illinois,1.1443703995928276,1,8,Calumet City,Illinois,-87.5531244,41.6180813,0.6931471805599453,2.19722457733622,16,19,1,2,2,2,7,16,19,2,1,3,3
17,166,2014-12-21,Central Avenue Waynesboro Mississippi,0.9680344001221916,1,4,Waynesboro,Mississippi,-88.65840909999999,31.6782332,0.6931471805599453,1.6094379124341005,17,18,0,0,1,2,7,16,19,0,0,1,3
18,166,2014-12-21,4034 N Washington Blvd Sarasota Florida,1.0986122886681096,2,2,Sarasota,Florida,-82.52997169999998,27.3688478,1.0986122886681098,1.0986122886681098,18,17,2,1,2,1,7,16,19,0,2,0,2
19,155,2014-11-28,1849 East Brooks Road  Memphis Tennessee,0.4828313737302301,0,4,Memphis,Tennessee,-90.0021493,35.0604534,0.0,1.6094379124341005,19,20,1,1,2,2,8,19,20,0,0,2,1
20,939,2018-10-13,511 Wilburn St Taft Texas,1.3345506928718538,4,1,Taft,Texas,-97.40792059999998,27.974872700000002,1.6094379124341005,0.6931471805599453,22,19,1,1,1,0,9,20,22,1,1,0,1
21,939,2018-10-13,400 block of Midlothian Road Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.2036416,38.755845799999996,0.0,1.6094379124341005,21,20,0,1,0,2,9,20,22,0,1,2,2
22,523,2016-10-02,2600 South Flores Street San Antonio Texas,0.9680344001221916,1,4,San Antonio,Texas,-98.50429240000001,29.398441499999997,0.6931471805599453,1.6094379124341005,27,17,3,0,3,0,10,22,22,2,0,1,0
23,64,2014-06-09,Rosa Parks Boulevard and Godwin Avenue Paterson New Jersey,0.583773044716594,0,6,Paterson,New Jersey,-74.15908189999998,40.9206769,0.0,1.9459101490553128,19,19,0,0,1,5,11,23,25,0,0,3,2
24,269,2015-06-29,13450 NW 30th Ave Opa Locka Florida,0.4828313737302301,0,4,Opa Locka,Florida,-80.24805420000001,25.8965262,0.0,1.6094379124341005,25,33,2,0,2,0,12,24,31,1,1,1,1
25,634,2017-04-20,700 block of East Jacob Street Louisville Kentucky,0.4828313737302301,0,4,Louisville,Kentucky,-85.7418588,38.242982399999995,0.0,1.6094379124341005,32,24,0,0,5,0,13,25,35,0,1,2,5
26,1013,2019-03-03,2900 block of E 79th St Chicago Illinois,0.583773044716594,0,6,Chicago,Illinois,-87.55382270000001,41.75204180000001,0.0,1.9459101490553128,18,22,1,1,1,2,14,25,34,3,4,3,8
27,1013,2019-03-03,316 14th St Oakland California,0.4828313737302301,0,4,Oakland,California,-122.2678922,37.80331629999999,0.0,1.6094379124341005,19,21,1,1,1,1,14,25,34,5,4,2,1
28,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1071864,29.973227299999998,0.0,1.6094379124341005,23,19,0,1,1,1,15,25,35,0,2,1,2
29,794,2018-02-10,413 Mill St Paintsville Kentucky,1.2542316284596384,5,0,Paintsville,Kentucky,-82.81063960000002,37.81621129999999,1.791759469228055,0.0,19,15,2,0,4,0,16,25,37,1,0,1,3
30,595,2017-02-07,5500 block of Fairfield Road Columbia South Carolina,0.4828313737302301,0,4,Columbia,South Carolina,-81.02573459999998,34.0592634,0.0,1.6094379124341005,24,20,0,0,2,0,17,23,41,0,0,1,3
31,595,2017-02-07,25 Par Drive Little Rock Arkansas,0.9680344001221916,1,4,Little Rock,Arkansas,-92.4290204,34.6728628,0.6931471805599453,1.6094379124341005,23,21,0,0,6,3,17,23,41,0,0,1,3
32,415,2016-04-16,1100 block of Conley Street Orlando Florida,1.2518599757979068,2,4,Orlando,Florida,-81.3935984,28.5329354,1.0986122886681098,1.6094379124341005,21,27,2,1,2,1,18,22,41,2,0,2,0
33,415,2016-04-16,Baxter Street Enterprise Alabama,0.4828313737302301,0,4,Enterprise,Alabama,-85.81524300000002,31.303638,0.0,1.6094379124341005,20,28,2,2,3,2,18,22,41,0,2,1,3
34,415,2016-04-16,9500 block of Oakland Detroit Michigan,0.9680344001221916,1,4,Detroit,Michigan,-83.07417769999998,42.3882354,0.6931471805599453,1.6094379124341005,22,26,1,0,6,4,18,22,41,0,2,2,8
35,871,2018-07-03,1700 block of Benning Rd NE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.97916479999998,38.8994838,0.0,1.6094379124341005,27,25,0,1,4,8,19,21,40,0,2,1,4
36,871,2018-07-03,1700 block of Billups Ave Saint Louis Missouri,1.0227308671603779,1,5,Saint Louis,Missouri,-90.2425298,38.6565816,0.6931471805599453,1.791759469228055,28,24,0,0,2,2,19,21,40,1,3,2,5
37,384,2016-01-30,67th and Missouri Avenue Glendale Arizona,1.5079338935523396,3,5,Glendale,Arizona,-112.20484040000001,33.5165652,1.3862943611198906,1.791759469228055,15,27,0,1,0,1,20,21,40,0,0,0,1
38,729,2017-10-01,3950 Las Vegas Blvd S Las Vegas Nevada,4.693434158178778,59,441,Las Vegas,Nevada,-115.1763365,36.09339170000001,4.0943445622220995,6.091309882077698,25,18,0,0,1,3,21,19,40,0,0,1,3
39,729,2017-10-01,1000 block of Massachusetts St Lawrence Kansas,1.2999897393843562,3,2,Lawrence,Kansas,-95.235711,38.9654625,1.3862943611198906,1.0986122886681098,26,17,0,0,0,0,21,19,40,0,0,0,2
40,104,2014-08-10,5400 block of Burgundy St New Orleans Louisiana,1.3065564428360932,2,5,New Orleans,Louisiana,-90.01919699999998,29.959362,1.0986122886681098,1.791759469228055,25,22,0,2,0,3,22,20,37,1,3,1,4
41,104,2014-08-10,16300 block of Heather Glen Road  Moreno Valley California,0.6238324625039507,0,7,Moreno Valley,California,-117.22176040000001,33.883615999999996,0.0,2.079441541679836,22,25,1,5,1,4,22,20,37,1,4,1,3
42,104,2014-08-10,2455 Idylwild Dr Wrightsville Georgia,0.583773044716594,0,6,Wrightsville,Georgia,-82.72899629999998,32.7091475,0.0,1.9459101490553128,23,24,2,2,2,2,22,20,37,0,0,2,0
43,104,2014-08-10,50 block of N St SW Washington District of Columbia,0.583773044716594,0,6,Washington,District of Columbia,-77.0108573,38.8744857,0.0,1.9459101490553128,24,23,1,0,6,2,22,20,37,1,1,2,3
44,776,2018-01-01,2025 Sparkman Dr NW Huntsville Alabama,0.9010913347279288,1,3,Huntsville,Alabama,-86.59455670000001,34.7628076,0.6931471805599453,1.3862943611198906,19,20,2,3,4,6,23,22,39,1,1,2,3
45,1088,2019-07-04,800 block of N Homan Ave Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.7114211,41.8954986,0.6931471805599453,1.3862943611198906,35,26,2,9,5,10,24,22,37,1,5,2,11
46,1088,2019-07-04,1100 block of Preston St Rockford Illinois,0.4828313737302301,0,4,Rockford,Illinois,-89.10634209999998,42.2714764,0.0,1.6094379124341005,36,25,3,8,5,8,24,22,37,1,5,2,8
47,1088,2019-07-04,1900 block of Adair St Los Angeles California,0.4828313737302301,0,4,Los Angeles,California,-118.25828419999999,34.0280185,0.0,1.6094379124341005,34,27,7,1,4,0,24,22,37,2,2,2,2
48,1088,2019-07-04,4700 block of E Hamilton Ave Fresno California,0.9010913347279288,1,3,Fresno,California,-119.74090020000001,36.724575200000004,0.6931471805599453,1.3862943611198906,33,28,6,2,5,3,24,22,37,2,2,3,2
49,1055,2019-05-18,700 Leverette Ln Cascilla Mississippi,0.9680344001221916,1,4,Cascilla,Mississippi,-90.1201993,33.8848664,0.6931471805599453,1.6094379124341005,27,31,0,0,0,1,25,25,33,0,1,2,4
50,1055,2019-05-18,100 Martin Luther King Avenue Atmore Alabama,1.1443703995928276,1,8,Atmore,Alabama,-87.4796241,31.032088399999996,0.6931471805599453,2.19722457733622,26,32,0,0,2,1,25,25,33,2,0,3,3
51,1055,2019-05-18,70 Kirkwood Ct SW Cedar Rapids Iowa,1.0986122886681096,2,2,Cedar Rapids,Iowa,-91.6554425,41.9216506,1.0986122886681098,1.0986122886681098,25,33,0,0,4,6,25,25,33,0,0,4,9
52,1055,2019-05-18,2410 W. Euclid Ave Muncie Indiana,1.0689760711085556,1,6,Muncie,Indiana,-85.4147845,40.2073182,0.6931471805599453,1.9459101490553128,24,34,2,0,3,7,25,25,33,0,1,6,10
